Go.	Geh.
Did you make coffee?	Hast du Kaffee gekocht?
Did you order pizza?	Hast du Pizza bestellt?
Did you order pizza?	Habt ihr Pizza bestellt?
Did you order pizza?	Haben Sie Pizza bestellt?
Did you play tennis?	Hast du Tennis gespielt?
Did you play tennis?	Spieltest du Tennis?
Did you read it all?	Habt ihr alles gelesen?
Did you read it all?	Hast du es ganz gelesen?
Did you see anybody?	Hast du jemanden gesehen?
Did you take a bath?	Hast du gebadet?
Did you talk to Tom?	Hast du mit Tom gesprochen?
Did you talk to Tom?	Haben Sie mit Tom gesprochen?
Did you tell on Tom?	Hast du Tom verpetzt?
Did you tell on Tom?	Habt ihr Tom verpetzt?
Did you yell at Tom?	Hast du Tom angeschrien?
Did you yell at Tom?	Habt ihr Tom angeschrien?
Did you yell at Tom?	Haben Sie Tom angeschrien?
Didn't Tom tell you?	Hat Tom es dir nicht gesagt?
Didn't you call Tom?	Hast du nicht Tom angerufen?
Didn't you know Tom?	Kanntest du Tom nicht?
Didn't you know Tom?	Kanntet ihr Tom nicht?
Didn't you know Tom?	Kannten Sie Tom nicht?
Didn't you see that?	Hast du das nicht gesehen?
Didn't you tell Tom?	Hast du Tom nicht davon erzählt?
Disconnect the plug.	Ziehe den Stecker heraus!
Disconnect the plug.	Ziehen Sie den Stecker!
Divide this in half.	Teile dies in zwei Hälften!
Do I curse too much?	Fluche ich zu viel?
Do I detect sarcasm?	Höre ich da Sarkasmus?
Do I detect sarcasm?	Höre ich da Sarkasmus raus?
Do I detect sarcasm?	Vernehme ich da Sarkasmus?
Do I have to go now?	Muss ich nun gehen?
Do as you think fit.	Tu, was du für richtig hältst!
Do exactly as I say.	Tun Sie genau, was ich Ihnen sage.
Do exactly as I say.	Tu genau, was ich
You can call me any time.	Du kannst mich jederzeit anrufen.
You can call me any time.	Sie können mich jederzeit anrufen.
You can come at any time.	Du kannst jederzeit kommen.
You can come if you want.	Du kannst kommen, wenn du willst.
You can dance, can't you?	Du kannst doch tanzen, oder?
You can do it, can't you?	Du kannst das, nicht wahr?
You can do it, can't you?	Du kannst das doch, oder?
You can do that tomorrow.	Das kannst du morgen machen.
You can do that tomorrow.	Das könnt ihr morgen machen.
You can do that tomorrow.	Das können Sie morgen machen.
You can do that yourself.	Du kannst das selbst tun.
You can do what you want.	Du kannst machen, was du willst.
You can have my sandwich.	Du kannst mein Sandwich haben.
You can have my sandwich.	Sie können mein Sandwich haben.
You can have my sandwich.	Ihr könnt mein Sandwich haben.
You can leave that to me.	Das kannst du mir überlassen.
You can only use it once.	Du kannst das nur einmal benutzen.
You can only use it once.	Du kannst es nur einmal benutzen.
You can only use it once.	Du kannst sie nur einmal benutzen.
You can only use it once.	Du kannst ihn nur einmal benutzen.
You can ski on that hill.	Du kannst auf jenem Hügel Ski laufen.
You can stay at my house.	Du kannst bei mir unterkommen.
You can stay at my house.	Ihr könnt bei mir unterkommen.
You can stay at my house.	Sie können bei mir unterkommen.
You can wait for me here.	Du kannst hier auf mich warten.
You can wait for me here.	Ihr könnt hier auf mich warten.
You can wait for me here.	Sie können hier auf mich warten.
You can watch television.	Du kannst fernsehen.
You can watch television.	Sie können fernsehen.
You can watch television.	Ihr könnt fernsehen.
You can't be too careful.	Man kann nicht vorsichtig genug sein.
You can't buy that judge.	Du kannst jenen Richter nicht bestechen.
You can't dance, can you?	Du kannst nicht tanzen, nicht wahr?
You can't dance, can you?	Sie können nicht tanzen, nicht wahr?
You can't erase the past.	Man kann das Vergangene nicht ausradieren.
You can't force me to go.	Du kannst mich nicht zwingen, dahin zu gehen!
You can't force us to go.	Du kannst uns nicht zwingen zu gehen.
You can't give me orders.	Du kannst mir keine Befehle erteilen.
You can't give me orders.	Sie können mir nichts befehlen.
You can't give me orders.	Du kannst mir keine Vorschriften machen.
You can't give up on Tom.	Du darfst Tom nicht aufgeben.
You can't leave yet, Tom.	Du darfst noch nicht gehen, Tom!
You can't leave yet, Tom.	Du kannst noch nicht gehen, Tom!
You can't let Tom suffer.	Du kannst Tom nicht leiden lassen.
You can't let Tom suffer.	Sie können Tom nicht leiden lassen.
You can't let Tom suffer.	Ihr könnt Tom nicht leiden lassen.
You can't live like that.	Du kannst so nicht leben.
You can't live like this.	Du kannst so nicht leben.
You can't rush this, Tom.	Du kannst das nicht überstürzen, Tom.
You can't sell our piano!	Du kannst doch nicht unser Klavier verkaufen!
You can't study too hard.	Man kann nicht fleißig genug studieren.
You can't win every time.	Du kannst nicht immer gewinnen.
You could do much better.	Das kannst du noch viel besser.
You could've walked away.	Du hättest weggehen können.
You could've walked away.	Ihr hättet weggehen können.
You could've walked away.	Sie hätten weggehen können.
You decide on what to do.	Du entscheidest, was gemacht wird.
You did an excellent job.	Sie haben ausgezeichnete Arbeit geleistet.
You did that really well.	Das hast du richtig gut gemacht.
You didn't break the law.	Sie haben das Gesetz nicht gebrochen.
You didn't eat very much.	Du hast aber nicht sehr viel gegessen.
You didn't eat very much.	Ihr habt aber nicht sehr viel gegessen.
You didn't eat very much.	Sie haben aber nicht sehr viel gegessen.
You didn't have to dress.	Du hättest dich nicht schick machen müssen.
You didn't have to leave.	Du musstest nicht gehen.
You didn't let me answer.	Du hast mich nicht antworten lassen.
You didn't let me answer.	Du hast mich nicht zu Wort kommen lassen.
You didn't let me finish.	Du hast mich nicht ausreden lassen.
You didn't let me finish.	Sie haben mich nicht ausreden lassen.
You didn't make it clear.	Das hast du nicht deutlich gemacht.
You didn't need to hurry.	Du hättest dich nicht beeilen müssen.
You didn't need to hurry.	Ihr hättet euch nicht beeilen müssen.
You didn't need to hurry.	Sie hätten Sich nicht beeilen müssen.
You didn't pay attention.	Sie haben nicht aufgepasst.
You didn't pay attention.	Du hast nicht aufgepasst.
You didn't pay attention.	Ihr habt nicht aufgepasst.
You don't get it, do you?	Du kapierst es nicht, was?
You don't have any money.	Ein Geld hast du nicht mal.
You don't have any proof.	Du hast nicht einen Beweis.
You don't have much time.	Du hast nicht viel Zeit.
You don't have much time.	Ihr habt nicht viel Zeit.
You don't have the nerve.	Das wagst du nicht.
You don't have the right.	Dazu hast du kein Recht.
You don't have the right.	Du hast kein Recht dazu.
You don't have to answer.	Du musst nicht antworten.
You don't have to answer.	Sie brauchen nicht zu antworten.
You don't have to answer.	Ihr braucht nicht zu antworten.
You don't have to eat it.	Sie müssen es nicht essen.
You don't listen, do you?	Du hörst nicht zu, oder?
You don't look that busy.	Du siehst nicht so beschäftigt aus.
You don't look that good.	Du siehst nicht so gut aus.
You don't look too happy.	Du siehst nicht allzu glücklich aus.
You don't look very good.	Du siehst nicht sehr gut aus.
You don't need money now.	Sie brauchen jetzt kein Geld.
You don't need money now.	Ihr braucht jetzt kein Geld.
You don't need money now.	Du brauchst jetzt kein Geld.
You don't really know me.	Du kennst mich nicht richtig.
You don't really know me.	Sie kennen mich nicht richtig.
You don't really love me.	Du liebst mich nicht wirklich.
You don't seem convinced.	Du scheinst nicht überzeugt zu sein.
You don't seem to get it.	Du scheinst es nicht zu begreifen.
You don't seem to get it.	Ihr scheint es nicht zu begreifen.
You don't seem to get it.	Sie scheinen es nicht zu begreifen.
You don't sing very well.	Du singst nicht besonders gut.
You don't sound like Tom.	Du klingst nicht wie Tom.
You forgot your umbrella.	Du hast deinen Regenschirm vergessen.
You gave away the ending.	Du hast das Ende verraten.
You gave away the ending.	Sie haben das Ende verraten.
You gave away the ending.	Ihr habt das Ende verraten.
You got hurt, didn't you?	Du hast dich verletzt, nicht wahr?
You got hurt, didn't you?	Ihr habt euch verletzt, nicht wahr?
You got hurt, didn't you?	Sie haben sich verletzt, nicht wahr?
You got what you deserve.	Du hast bekommen, was du verdient hast.
You guys did a great job.	Ihr habt ganze Arbeit geleistet!
You guys need each other.	Ihr braucht einander.
You hate them, don't you?	Du hasst sie, oder?
You have a beautiful dog.	Du hast einen schönen Hund.
You have a beautiful dog.	Ihr habt einen schönen Hund.
You have a beautiful dog.	Sie haben einen schönen Hund.
You have a bright future.	Du hast eine glänzende Zukunft.
You have a gum infection.	Sie haben entzündetes Zahnfleisch.
You have a pretty garden.	Du hast einen schönen Garten.
You have lots of friends.	Du hast jede Menge Freunde.
You have my full support.	Du hast meine volle Unterstützung.
You have my full support.	Ihr habt meine volle Unterstützung.
You have my full support.	Sie haben meine volle Unterstützung.
You have my word on that.	Du hast mein Wort dazu.
You have no idea, do you?	Du hast keine Ahnung, oder?
You have no new messages.	Sie haben keine neuen Nachrichten.
You have no other choice.	Du hast keine andere Wahl.
You have nothing to fear.	Du hast nichts zu befürchten.
You have nothing to lose.	Du hast nichts zu verlieren.
You have taught him well.	Du hast ihn gut unterwiesen.
You have taught him well.	Sie haben ihn gut unterwiesen.
You have taught him well.	Du hast ihm viel beigebracht.
You have taught him well.	Sie haben ihm viel beigebracht.
You have thirty messages.	Sie haben dreißig Nachrichten.
You have to come quickly.	Du musst schnell kommen.
You have to come with me.	Sie müssen mit mir kommen.
You have to come with me.	Ihr müsst mit mir kommen.
You have to come with us.	Du musst mit uns kommen.
You have to get up early.	Du musst früh aufstehen.
You have to go on living.	Du musst weiterleben.
You have to leave Boston.	Du musst Boston verlassen.
You have to leave Boston.	Sie müssen Boston verlassen.
You have to leave Boston.	Du musst aus Boston abreisen.
You have to listen to me.	Du musst mir zuhören.
You have to obey the law.	Man muss das Gesetz befolgen.
You have to study harder.	Du musst mehr lernen.
You have to wait in line.	Sie müssen sich anstellen.
You have tons of friends.	Du hast jede Menge Freunde.
You haven't changed much.	Du hast dich kaum verändert.
You haven't got a chance.	Du hast keine Chance.
You just can't ignore it.	Du kannst das nicht einfach ignorieren.
You just can't ignore it.	Ihr könnt das nicht einfach ignorieren.
You just can't ignore it.	Sie können das nicht einfach ignorieren.
You just proved my point.	Du hast gerade bewiesen, dass ich recht habe.
You knew Tom, didn't you?	Du kanntest Tom, oder?
You know I hate meetings.	Du weißt doch, dass ich Sitzungen hasse.
You know that I like you.	Du weißt, dass ich dich mag.
You know that isn't true.	Du weißt, das ist nicht wahr.
You know that isn't true.	Du weißt, dass das nicht stimmt.
You know that isn't true.	Ihr wisst, dass das nicht stimmt.
You know that isn't true.	Sie wissen, dass das nicht stimmt.
You know that's not true.	Du weißt, dass das nicht stimmt.
You know that's not true.	Ihr wisst, dass das nicht stimmt.
You know that's not true.	Sie wissen, dass das nicht stimmt.
You know that, don't you?	Das weißt du doch, oder?
You know this isn't fair.	Du weißt, dass das nicht fair ist.
You left the fridge open.	Du hast den Kühlschrank offengelassen!
You like that, don't you?	Das gefällt dir, oder?
You like that, don't you?	Das gefällt euch, oder?
You like that, don't you?	Das gefällt Ihnen, oder?
You live here, don't you?	Du lebst hier, nicht wahr?
You live here, don't you?	Du wohnst hier, nicht wahr?
You look different today.	Du siehst heute anders aus.
You look like Tom's wife.	Du siehst aus wie Toms Ehefrau.
You look like an actress.	Du siehst wie eine Schauspielerin aus.
You look much better now.	Du siehst jetzt viel besser aus.
You look really familiar.	Du kommst mir sehr bekannt vor.
You look really gorgeous.	Du siehst wirklich großartig aus.
You look really gorgeous.	Du siehst wirklich umwerfend aus.
You look very thoughtful.	Du siehst sehr nachdenklich aus.
You looked really scared.	Du sahst sehr verängstigt aus.
You made a good decision.	Sie haben eine gute Entscheidung getroffen.
You made a good decision.	Ihr habt eine gute Entscheidung getroffen.
You made a good decision.	Du hast eine gute Entscheidung getroffen.
You made a wise decision.	Du hast eine weise Entscheidung getroffen.
You made a wise decision.	Sie haben eine weise Entscheidung getroffen.
You made a wise decision.	Ihr habt eine weise Entscheidung getroffen.
You made me lose my mind.	Du hast mir den Kopf verdreht.
You made me lose my mind.	Du hast mich um den Verstand gebracht.
You made your mother cry.	Du hast deine Mutter zum Weinen gebracht.
You make it look so easy.	Bei dir sieht es so einfach aus.
You make me very nervous.	Du machst mich sehr nervös.
You managed it after all.	Du hast es doch geschafft.
You may come if you like.	Du kannst kommen, wenn du willst.
You may come if you like.	Sie können kommen, wenn Sie mögen.
You may go if you choose.	Wenn Sie wollen, können Sie gehen.
You may not want to know.	Sie möchten es vielleicht nicht wissen.
You might try asking Tom.	Vielleicht solltest du Tom fragen.
You might've heard of it.	Du hast vielleicht davon gehört.
You missed the best part.	Du hast das Beste verpasst.
You must answer honestly.	Du musst ehrlich antworten.
You must be Tom's mother.	Sie müssen Toms Mutter sein.
You must be here by five.	Um fünf musst du hier sein.
You must be more patient.	Du musst geduldiger sein.
You must be more patient.	Sie müssen geduldiger sein.
You must be really tired.	Du musst sehr müde sein.
You must clean your room.	Du musst dein Zimmer sauber machen.
You must clear the table.	Du musst den Tisch abräumen.
You must face your fears.	Du musst dich deinen Ängsten stellen.
You must face your fears.	Sie müssen sich Ihren Ängsten stellen.
You must get to know Tom.	Du musst unbedingt Tom kennenlernen.
You must not stay in bed.	Du darfst nicht im Bett bleiben.
You must not stay in bed.	Sie dürfen nicht im Bett bleiben.
You must not stay in bed.	Ihr dürft nicht im Bett bleiben.
You must not talk to him.	Du darfst nicht mit ihm reden.
You must really be tired.	Du musst wirklich müde sein.
You must write something.	Du musst was schreiben.
You must've dropped them.	Die müssen dir runtergefallen sein.
You need a change of air.	Du brauchst eine Luftveränderung.
You need to buy a ticket.	Du musst eine Fahrkarte lösen.
You need to learn French.	Du musst Französisch lernen.
You need to learn French.	Ihr müsst Französisch lernen.
You need to learn French.	Sie müssen Französisch lernen.
You need to stop smoking.	Du musst aufhören zu rauchen!
You need to stop talking.	Du musst jetzt aber mal ruhig sein.
You need to study harder.	Du musst fleißiger lernen.
You needn't explain that.	Das brauchst du nicht zu erklären.
You never change, do you?	Du änderst dich nie, oder?
You never spoke about it.	Sie haben darüber nie gesprochen.
You never spoke about it.	Ihr habt darüber nie gesprochen.
You never stood a chance.	Du hattest nie eine Chance.
You ought to know better.	Du solltest es besser wissen.
You owe me three dollars.	Du schuldest mir drei Dollar.
You said I was beautiful.	Du nanntest mich schön.
You say that to everyone.	Das sagst du zu jedem.
You seem a long way away.	Ihr scheint weit weg zu sein.
You should ask Tom first.	Du solltest erst Tom fragen.
You should ask Tom first.	Sie sollten erst Tom fragen.
You should ask Tom first.	Ihr solltet erst Tom fragen.
You should be very happy.	Du solltest sehr glücklich sein.
You should eat something.	Du solltest etwas essen.
You should eat something.	Sie sollten etwas essen.
You should get a haircut.	Du musst aber mal zum Friseur!
You should get more rest.	Du solltest dich noch mehr ausruhen.
You should get some rest.	Du solltest dir etwas Ruhe gönnen.
You should get some rest.	Sie sollten sich etwas Ruhe gönnen.
You should go home early.	Du solltest früher nach Hause gehen.
You should go to bed now.	Du solltest jetzt ins Bett gehen.
You should have told him.	Du hättest es ihm sagen sollen.
You should hire a lawyer.	Du solltest dir einen Anwalt nehmen.
You should hire a lawyer.	Sie sollten sich einen Anwalt nehmen.
You should hire a lawyer.	Ihr solltet euch einen Anwalt nehmen.
You should know yourself.	Du solltest dich kennen.
You should leave at once.	Du solltest sofort gehen.
You should leave at once.	Sie sollten sofort gehen.
You should leave at once.	Ihr solltet sofort gehen.
You should leave at once.	Du solltest sofort weg von hier.
You should leave at once.	Sie sollten sofort weg von hier.
You should leave at once.	Ihr solltet sofort weg von hier.
You should listen to him.	Du solltest auf ihn hören.
You should listen to him.	Ihr solltet auf ihn hören.
You should listen to him.	Sie sollten auf ihn hören.
You should not talk here.	Sie sollten hier nicht reden.
You should not trust him.	Man darf ihm nicht trauen.
You should not trust him.	Man kann ihm nicht trauen.
You should pay attention.	Du solltest achtgeben.
You should pay attention.	Ihr solltet achtgeben.
You should pay attention.	Sie sollten achtgeben.
You should play football.	Du solltest Fußball spielen.
You should play football.	Du solltest Football spielen.
You should stop drinking.	Du solltest mit dem Trinken aufhören.
You should take a shower.	Du solltest duschen.
You should tell Tom that.	Das solltest du Tom sagen.
You should tell Tom that.	Das solltet ihr Tom sagen.
You should tell Tom that.	Das sollten Sie Tom sagen.
You should wash your car.	Du solltest dein Auto waschen.
You should wash your car.	Sie sollten Ihr Auto waschen.
You should wash your car.	Du solltest mal deinen Wagen waschen.
You should write a novel.	Du solltest einen Roman schreiben.
You should write a novel.	Sie sollten einen Roman schreiben.
You shouldn't go to work.	Du solltest nicht zur Arbeit gehen.
You shouldn't tease dogs.	Hunde sollte man nicht ärgern.
You sound a lot like Tom.	Du klingst fast so wie Tom.
You speak fluent English.	Du sprichst fließend Englisch.
You spend too much money.	Du gibst zu viel Geld aus.
You still look surprised.	Du siehst immer noch überrascht aus.
You swept me off my feet.	Du hast mir den Kopf verdreht.
You told me to come here.	Du sagtest mir, ich solle herkommen.
You took advantage of me.	Du hast mich ausgenutzt.
You took advantage of me.	Ihr habt mich ausgenutzt.
You took advantage of me.	Sie haben mich ausgenutzt.
You were right about Tom.	Du hattest recht, was Tom betrifft.
You were right after all.	Du hattest dann doch recht.
You were right after all.	Schließlich hattest du recht.
You were very kind to us.	Du warst sehr freundlich zu uns.
You will be safe with me.	Du wirst bei mir sicher sein.
You won't be on your own.	Du wirst nicht auf dich allein gestellt sein.
You won't catch anything.	Du wirst nichts fangen.
You won't catch anything.	Ihr werdet nichts fangen.
You won't catch anything.	Sie werden nichts fangen.
You won, fair and square.	Du hast gewonnen, klar und deutlich.
You'd be the one to know.	Du wärest derjenige, der es wüsste.
You'd better do that now.	Das machst du besser gleich.
You'd better leave early.	Du gehst besser früher.
You'd better relax a bit.	Du solltest dich lieber etwas entspannen.
You'd better relax a bit.	Ihr solltet euch besser etwas entspannen.
You'd better relax a bit.	Sie täten besser daran, sich etwas zu entspannen.
You'd better stay in bed.	Du bleibst besser im Bett.
You'd better stay in bed.	Ihr bleibt besser im Bett.
You'd better stay in bed.	Sie bleiben besser im Bett.
You'd do the same for me.	Du hättest für mich das Gleiche getan.
You'd make a good lawyer.	Du wärest ein guter Anwalt.
You'll do whatever I say.	Du wirst tun, was ich sage.
You'll find nothing here.	Hier werden Sie nichts finden.
You'll find nothing here.	Hier wirst du nichts finden.
You'll have a rough time.	Du wirst es nicht leicht haben.
You'll have a rough time.	Ihr werdet es nicht leicht haben.
You'll have a rough time.	Sie werden es nicht leicht haben.
You'll have to come here.	Du musst hierher kommen.
You'll need a flashlight.	Du wirst eine Taschenlampe brauchen.
You'll need a flashlight.	Sie werden eine Taschenlampe brauchen.
You'll need a flashlight.	Ihr werdet eine Taschenlampe brauchen.
You'll never regret this.	Sie werden das nie bereuen.
You'll pay for this, Tom.	Dafür wirst du bezahlen, Tom!
You'll regret it someday.	Das wirst du eines Tages bereuen.
You're a beautiful woman.	Du bist eine schöne Frau.
You're a good journalist.	Du bist ein guter Journalist.
You're a really bad liar.	Du bist ein ziemlich schlechter Lügner.
You're a terrible dancer.	Du bist ein schrecklicher Tänzer.
You're a terrible dancer.	Sie sind ein schrecklicher Tänzer.
You're a terrible dancer.	Du bist eine schreckliche Tänzerin.
You're a terrible person.	Du bist ein schrecklicher Mensch!
You're a useless husband.	Du bist als Ehemann nicht zu gebrauchen.
You're a very bad person.	Sie sind ein sehr schlechter Mensch.
You're a wonderful woman.	Du bist eine wunderbare Frau!
You're a wonderful woman.	Sie sind eine wunderbare Frau!
You're almost never home.	Sie sind fast nie zu Hause.
You're almost never home.	Du bist fast nie zu Hause.
You're an absolute idiot.	Du bist ein totaler Idiot.
You're an excellent liar.	Du bist ein hervorragender Lügner.
You're angry, aren't you?	Du bist wütend, oder?
You're blocking my light.	Du stehst mir im Licht.
You're busy all the time.	Du bist immer beschäftigt.
You're early, aren't you?	Du bist früh dran, oder?
You're embarrassing them.	Du machst sie verlegen.
You're full of surprises.	Du bist voller Überraschungen.
You're going to do great.	Du wirst es großartig machen.
You're going to get cold.	Euch wird es kalt werden.
You're going to like Tom.	Tom wird dir sympathisch sein.
You're happy, aren't you?	Du bist glücklich, nicht wahr?
You're in over your head.	Du steckst bis über beide Ohren drin!
You're in safe hands now.	Du bist nun in sicheren Händen.
You're making me nervous.	Du machst mich nervös.
You're not a nice person.	Du bist kein netter Mensch.
You're not as poor as me.	Du bist nicht so arm wie ich.
You're not my girlfriend.	Du bist nicht meine Freundin.
You're not rich, are you?	Du bist nicht reich, oder?
You're not young anymore.	Du bist nicht mehr jung.
You're not young anymore.	Ihr seid nicht mehr jung.
You're not young anymore.	Sie sind nicht mehr jung.
You're on the wrong road.	Du bist auf der falschen Straße.
You're on the wrong road.	Sie sind auf der falschen Straße.
You're on the wrong road.	Ihr seid auf der falschen Straße.
You're partially correct.	Du liegst teilweise richtig.
You're probably mistaken.	Du irrst dich wahrscheinlich.
You're probably mistaken.	Ihr irrt euch wahrscheinlich.
You're probably mistaken.	Sie irren sich wahrscheinlich.
You're really incredible.	Du bist echt unglaublich.
You're really incredible.	Ihr seid echt unglaublich.
You're really incredible.	Sie sind echt unglaublich.
You're smarter than I am.	Du bist klüger als ich.
You're spoiling the mood.	Du verdirbst die Stimmung.
You're strange sometimes.	Manchmal bist du komisch.
You're such a mama's boy.	Du bist so ein Mamasöhnchen!
You're the best dad ever.	Du bist der beste Papa auf der Welt!
You're the best dad ever.	Du bist der beste Papa aller Zeiten!
You're the reason I came.	Du bist der Grund, warum ich gekommen bin.
You're tired, aren't you?	Du bist müde, nicht wahr?
You're tired, aren't you?	Du bist bestimmt müde.
You're tired, aren't you?	Sie sind müde, oder?
You're tired, aren't you?	Ihr seid müde, oder?
You're tired, aren't you?	Sie sind müde, nicht wahr?
You're twisting my words.	Du drehst mir das Wort im Munde herum.
You're twisting my words.	Sie drehen mir das Wort im Munde herum.
You're very good at that.	Du bist sehr gut darin.
You're very good at this.	Du bist sehr gut darin.
You're very good-looking.	Du siehst sehr gut aus.
You're wasting your time.	Du verschwendest deine Zeit.
You're worrying too much.	Du machst dir zu viele Sorgen.
You're worrying too much.	Sie machen sich zu viele Sorgen.
You're worrying too much.	Ihr macht euch zu viele Sorgen.
You've already done that.	Das hast du schon gemacht.
You've already forgotten.	Du hast es schon vergessen.
You've arrived too early.	Sie sind zu früh gekommen.
You've been a great help.	Du warst mir eine große Hilfe.
You've been a great help.	Ihr wart mir eine große Hilfe.
You've been a great help.	Sie waren mir eine große Hilfe.
You've been a great help.	Du warst uns eine große Hilfe.
You've been a great help.	Ihr wart uns eine große Hilfe.
You've been a great help.	Sie waren uns eine große Hilfe.
You've been very helpful.	Sie waren eine große Hilfe.
You've been very helpful.	Ihr wart eine große Hilfe.
You've been very helpful.	Du warst eine große Hilfe.
You've been very helpful.	Sie haben mir sehr geholfen.
You've brightened my day.	Du hast mir den Tag versüßt.
You've done that already.	Das hast du schon getan.
You've got a big problem.	Du hast ein großes Problem.
You've got a big problem.	Du hast ein gewaltiges Problem.
You've got a lot of guts.	Du hast ganz schön Mumm.
You've got three minutes.	Du hast drei Minuten.
You've got three seconds.	Du hast drei Sekunden.
You've got to be careful.	Du musst vorsichtig sein.
You've got to be kidding!	Das kann doch nur ein Witz sein!
You've got to be on time.	Du musst pünktlich sein.
You've got to believe me.	Du musst mir glauben.
You've got to believe me.	Ihr müsst mir glauben.
You've got to believe me.	Sie müssen mir glauben.
You've got to stay awake.	Du musst wach bleiben.
You've got to stay awake.	Ihr müsst wach bleiben.
You've got to stay awake.	Sie müssen wach bleiben.
You've got to wait a bit.	Ihr werdet etwas warten müssen.
You've lied to me before.	Du hast mich schon einmal belogen.
You've lost your marbles.	Du hast nicht alle Tassen im Schrank.
You've set a bad example.	Du hast ein schlechtes Beispiel abgegeben.
You've set a bad example.	Sie haben ein schlechtes Beispiel abgegeben.
You've slept a long time.	Du hast lange geschlafen.
You've spilt your coffee.	Du hast deinen Kaffee verschüttet.
You've taught me so much.	Du hast mir so vieles beigebracht.
You've wasted your money.	Du hast dein Geld vergeudet.
Your French has improved.	Dein Französisch ist besser geworden.
Your French is improving.	Dein Französisch wird besser.
Your French is improving.	Das Französisch verbessert sich.
Your French is very good.	Sie sprechen aber gut Französisch!
Your book is on the desk.	Dein Buch ist auf dem Schreibtisch.
Your book is on the desk.	Dein Buch befindet sich auf dem Schreibtisch.
Your book is upside down.	Dein Buch steht auf dem Kopf.
Your book is upside down.	Dein Buch ist verkehrt herum.
Your cellphone's ringing.	Dein Mobiltelefon klingelt.
Your cooking smells good.	Was du da kochst, riecht aber gut!
Your criticism is unfair.	Deine Kritik ist ungerecht.
Your father won't buy it.	Dein Vater wird es nicht kaufen.
Your food's getting cold.	Dein Essen wird kalt.
Your forehead's bleeding.	Deine Stirn blutet.
Your forehead's bleeding.	Ihre Stirn blutet.
Your hair will grow back.	Dein Haar wird nachwachsen.
Your hair will grow back.	Ihr Haar wird nachwachsen.
Your hair's not even wet.	Deine Haare sind nicht einmal nass.
Your room number, please.	Ihre Zimmernummer, bitte?
Your shirt is inside out.	Du hast das Hemd auf links an.
Your telephone's ringing.	Dein Telefon klingelt.
Your things are all here.	Deine Sachen sind alle hier.
Your things are all here.	Eure Sachen sind alle hier.
Your things are all here.	Ihre Sachen sind alle hier.
Your tie has come undone.	Dein Schlips hat sich gelöst.
Your tie has come undone.	Ihr Schlips hat sich gelöst.
Your time is running out.	Deine Zeit läuft ab.
Your time is running out.	Eure Zeit läuft ab.
Your time is running out.	Ihre Zeit läuft ab.
2013 was a difficult year.	2013 war ein schweres Jahr.
"Did it help? ""A little."""	„Hat’s geholfen?“ – „Ein bisschen.“
"Do you have a dog? ""No."""	„Hast du einen Hund?“ – „Nein.“
"What's wrong? ""Nothing."""	„Was ist los?“ – „Nichts.“
"Where's Tom? ""Beats me."""	„Wo ist Tom?“ – „Null Ahnung.“
A bird flew into the room.	Ein Vogel flog ins Zimmer.
A burnt child dreads fire.	Gebrannte Kinder scheuen das Feuer.
A burnt child dreads fire.	Ein gebranntes Kind scheut das Feuer.
A button came off my coat.	Von meinem Mantel ist ein Knopf abgegangen.
A cat can see in the dark.	Katzen können im Dunkeln sehen.
A cat is lying in the sun.	Eine Katze liegt in der Sonne.
A cold bath refreshed him.	Ein kaltes Bad erfrischte ihn.
A crocodile has eaten Tom.	Ein Krokodil hat Tom gefressen.
A crocodile has eaten Tom.	Tom wurde von einem Krokodil gefressen.
A dog bit me this morning.	Ein Hund hat mich heute Morgen gebissen.
A dog can see in the dark.	Ein Hund kann im Dunkeln sehen.
A few days later, he came.	Ein paar Tage später kam er.
A fork fell off the table.	Eine Gabel ist vom Tisch gefallen.
A gentle rain was falling.	Es fiel ein sanfter Regen.
A gentle wind was blowing.	Es wehte ein sanfter Wind.
A girl appeared before me.	Ein Mädchen erschien vor mir.
A girl asked Tom to dance.	Ein Mädchen forderte Tom zum Tanz.
A girl stood there crying.	Dort stand weinend ein Mädchen.
A girl stood there crying.	Ein Mädchen stand weinend da.
A gun might come in handy.	Eine Waffe könnte gelegen kommen.
A hint from you is enough.	Ein Wink von dir genügt.
A horse can run very fast.	Ein Pferd kann sehr schnell rennen.
A is 5 times as long as B.	A ist fünfmal so lang wie B.
A lot can happen in a day.	Im Laufe eines Tages kann viel passieren.
A man like me needs a hat.	Ein Mann wie ich braucht einen Hut.
A mango ice cream, please.	Ein Mangoeis bitte.
A minute is sixty seconds.	Eine Minute besteht aus sechzig Sekunden.
A nail punctured the tire.	Ein Nagel durchlöcherte den Reifen.
A penny for your thoughts.	Ich wüsste zu gern, was du gerade denkst.
A penny for your thoughts.	Ich wüsste zu gern, was ihr gerade denkt.
A penny for your thoughts.	Ich wüsste zu gern, was Sie gerade denken.
A policeman came up to me.	Ein Polizist kam auf mich zu.
A rat ran across the road.	Eine Ratte lief über die Straße.
A stranger approached him.	Ein Fremder näherte sich ihm.
A strong wind was blowing.	Es blies ein kräftiger Wind.
A wood floor is beautiful.	Ein Holzfußboden ist schön.
A year has already passed.	Ein Jahr ist schon um.
Actually, that isn't true.	Das ist eigentlich nicht wahr.
Add more salt to the soup.	Gib mehr Salz in die Suppe.
